"市区町村
コード",ＮＯ,都道府県名,市町村名,名称,名称＿カナ,名称＿通称,ＰＯＩコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,"利用可能
曜日","開始
時間","終了
時間",特記事項,説明,バリアフリー情報,ＵＲＬ,備考
52124,1,秋田県,大仙市,大曲庁舎（本庁舎）,オオマガリチョウシャ,,,大曲花園町474-2,,,,,,,,,,,,,,,
52124,2,秋田県,大仙市,大曲南庁舎,オオマガリミナミチョウシャ,,,大曲日の出町２丁目443-2,,,,,,,,,,,,,,,
52124,3,秋田県,大仙市,神岡庁舎,カミオカチョウシャ,,,神宮寺字蓮沼16-3,,,,,,,,,,,,,,,
52124,4,秋田県,大仙市,西仙北庁舎,ニシセンボクチョウシャ,,,刈和野字本町5,,,,,,,,,,,,,,,
52124,5,秋田県,大仙市,中仙庁舎,ナカセンチョウシャ,,,北長野字茶畑141,,,,,,,,,,,,,,,
52124,6,秋田県,大仙市,協和庁舎,キョウワチョウシャ,,,協和境字野田4,,,,,,,,,,,,,,,
52124,7,秋田県,大仙市,南外庁舎,ナンガイチョウシャ,,,南外字下袋218,,,,,,,,,,,,,,,
52124,8,秋田県,大仙市,仙北庁舎,センボクチョウシャ,,,高梨字田茂木10,,,,,,,,,,,,,,,
52124,9,秋田県,大仙市,太田庁舎,オオタチョウシャ,,,太田町太田字新田田尻3-4,,,,,,,,,,,,,,,
52124,10,秋田県,大仙市,花館公民館（花館コミュニティーセンター）,ハナダテコウミンカン,花館コミュニティーセンター,,花館上町5-19,,,,,,,,,,,,,,,
52124,11,秋田県,大仙市,内小友公民館,ウチオトモコウミンカン,,,内小友字仙北屋68-2,,,,,,,,,,,,,,,
52124,12,秋田県,大仙市,大川西根公民館（大川西根総合センター）,オオカワニシネコウミンカン,大川西根総合センター,,大曲西根字小館10,,,,,,,,,,,,,,,
52124,13,秋田県,大仙市,藤木公民館（藤木コミュニティーセンター）,フジキコウミンカン,藤木コミュニティーセンター,,藤木字乙本藤木8,,,,,,,,,,,,,,,
52124,14,秋田県,大仙市,四ツ屋公民館（四ツ屋多目的集会センター）,ヨツヤコウミンカン,四ツ屋多目的集会センター,,四ツ屋字西下瀬162-4,,,,,,,,,,,,,,,
52124,15,秋田県,大仙市,角間川公民館（大曲老人福祉センター）,カクマガワコウミンカン,大曲老人福祉センター,,角間川町字四上町1,,,,,,,,,,,,,,,
52124,16,秋田県,大仙市,神岡中央公民館（かみおか嶽雄館）,カミオカチュウオウコウミンカン,かみおか嶽雄館,,神宮寺字下川原前開102,,,,,,,,,,,,,,,
52124,17,秋田県,大仙市,北楢岡公民館,キタナラオカコウミンカン,,,北楢岡字北楢岡56,,,,,,,,,,,,,,,
52124,18,秋田県,大仙市,神岡中央公民館神清水分館（神岡神清水コミュニティセンター）,カミオカチュウオウコウミンカンジンシミズブンカン,神岡神清水コミュニティセンター,,神宮寺字宇留井谷地47-1,,,,,,,,,,,,,,,
52124,19,秋田県,大仙市,西仙北中央公民館（大綱交流館）,ニシセンボクチュウオウコウミンカン,大綱交流館,,刈和野字愛宕下24-1,,,,,,,,,,,,,,,
52124,20,秋田県,大仙市,刈和野地区公民館（刈和野地区コミュニティセンター）,カリワノチクコウミンカン,刈和野地区コミュニティセンター,,刈和野字愛宕町10-2,,,,,,,,,,,,,,,
52124,21,秋田県,大仙市,土川地区公民館（西仙北農村環境改善センター）,ツチカワチクコウミンカン,西仙北農村環境改善センター,,土川字刈布沢24-48,,,,,,,,,,,,,,,
52124,22,秋田県,大仙市,大沢郷地区公民館（西仙北林業者等健康増進施設）,オオサワゴウチクコウミンカン,西仙北林業者等健康増進施設,,大沢郷宿字横山59-2,,,,,,,,,,,,,,,
52124,23,秋田県,大仙市,強首地区公民館（強首地区多目的研修施設）,コワクビチクコウミンカン,強首地区多目的研修施設,,強首字上野台1,,,,,,,,,,,,,,,
52124,24,秋田県,大仙市,中仙公民館長野分館,ナカセンコウミンカンナガノブンカン,,,長野字一ノ坪58,,,,,,,,,,,,,,,
52124,25,秋田県,大仙市,中仙公民館清水分館,ナカセンコウミンカンシミズブンカン,,,清水字上大蔵66-1,,,,,,,,,,,,,,,
52124,26,秋田県,大仙市,中仙公民館豊川分館（豊川農業者多目的研修センター）,ナカセンコウミンカントヨカワブンカン,豊川農業者多目的研修センター,,豊川字久保175,,,,,,,,,,,,,,,
52124,27,秋田県,大仙市,中仙公民館豊岡分館,ナカセンコウミンカントヨオカブンカン,,,豊岡字中荒井野175,,,,,,,,,,,,,,,
52124,28,秋田県,大仙市,中仙公民館鴬野分館,ナカセンコウミンカンウグイスノブンカン,,,下鴬野字上村1,,,,,,,,,,,,,,,
52124,29,秋田県,大仙市,中仙公民館鑓見内分館（中仙農村総合管理施設「古柳館」）,ナカセンコウミンカンヤリミナイブンカン,中仙農村総合管理施設「古柳館」,,鑓見内字石持108,,,,,,,,,,,,,,,
52124,30,秋田県,大仙市,協和公民館峰吉川分館（峰吉川基幹集落センター）,キョウワコウミンカンミネヨシカワブンカン,峰吉川基幹集落センター,,協和峰吉川字峰吉川83,,,,,,,,,,,,,,,
52124,31,秋田県,大仙市,協和公民館船岡分館（船岡コミュニティ共学館）,キョウワコウミンカンフナオカブンカン,船岡コミュニティ共学館,,協和船岡字下中野159-2,,,,,,,,,,,,,,,
52124,32,秋田県,大仙市,協和公民館淀川分館,キョウワコウミンカンヨドカワブンカン,,,協和下淀川字車田16-1,,,,,,,,,,,,,,,
52124,33,秋田県,大仙市,南外公民館,ナンガイコウミンカン,,,南外字悪戸野127-6,,,,,,,,,,,,,,,
52124,34,秋田県,大仙市,大曲市民会館,オオマガリシミンカイカン,,,大曲日の出町２丁目6-50,,,,,,,,,,,,,,,
52124,35,秋田県,大仙市,大曲中央公民館,オオマガリチュウオウコウミンカン,,,大曲日の出町２丁目6-60,,,,,,,,,,,,,,,
52124,36,秋田県,大仙市,中仙市民会館（ドンパル）,ナカセンシミンカイカン,ドンパル,,北長野字袴田95,,,,,,,,,,,,,,,
52124,37,秋田県,大仙市,協和市民センター（和ピア）,キョウワシミンセンター,和ピア,,協和船岡字大袋1-7,,,,,,,,,,,,,,,
52124,38,秋田県,大仙市,仙北ふれあい文化センター,センボクフレアイブンカセンター,,,堀見内字元田茂木7-1,,,,,,,,,,,,,,,
52124,39,秋田県,大仙市,大曲図書館,オオマガリトショカン,,,大曲上栄町2-16,,,,,,,,,,,,,,,
52124,40,秋田県,大仙市,西仙北図書館,ニシセンボクトショカン,,,刈和野字愛宕下24-1,,,,,,,,,,,,,,,
52124,41,秋田県,大仙市,大仙市アーカイブズ,ダイセンシアーカイブズ,,,強首字上野台1,,,,,,,,,,,,,,,
52124,42,秋田県,大仙市,仙北図書館,センボクトショカン,,,堀見内字下田茂木139,,,,,,,,,,,,,,,
52124,43,秋田県,大仙市,サンクエスト大曲,サンクエストオオマガリ,,,大曲日の出町１丁目22-10,,,,,,,,,,,,,,,
52124,44,秋田県,大仙市,地域交流センター「はぴねす大仙」,チイキコウリュウセンター「ハピネスダイセン」,はぴねす大仙,,幸町2-70,,,,,,,,,,,,,,,
52124,45,秋田県,大仙市,大曲交流センター,オオマガリコウリュウセンター,,,大曲日の出町２丁目458,,,,,,,,,,,,,,,
52124,46,秋田県,大仙市,神岡農村環境改善センター,カミオカノウソンカンキョウカイゼンセンター,,,神宮寺字下川原前開100,,,,,,,,,,,,,,,
52124,47,秋田県,大仙市,神岡福祉センター,カミオカフクシセンター,,,神宮寺字蓮沼17,,,,,,,,,,,,,,,
52124,48,秋田県,大仙市,音楽交流館,オンガクコウリュウカン,,,北楢岡字嶋151,,,,,,,,,,,,,,,
52124,49,秋田県,大仙市,小杉山地区生涯学習センター,コスギヤマチクショウガイガクシュウセンター,,,土川字小杉山沢ノ内焼山1-2,,,,,,,,,,,,,,,
52124,50,秋田県,大仙市,西仙北農村交流施設（西仙北堂伝野交流施設）,ニシセンボクノウソンコウリュウシセツ,西仙北堂伝野交流施設,,北野目字堂伝野2,,,,,,,,,,,,,,,
52124,51,秋田県,大仙市,大綱交流サロン,オオツナコウリュウサロン,,,字刈和野190番地1,,,,,,,,,,,,,,,
52124,52,秋田県,大仙市,中仙農村環境改善センター,ナカセンノウソンカンキョウカイゼンセンター,,,北長野字茶畑108,,,,,,,,,,,,,,,
52124,53,秋田県,大仙市,羽後境駅東集会施設,ウゴサカイエキヒガシシュウカイシセツ,,,協和境字野田114-2,,,,,,,,,,,,,,,
52124,54,秋田県,大仙市,協和総合開発センター,キョウワソウゴウカイハツセンター,,,協和境字岸館45,,,,,,,,,,,,,,,
52124,55,秋田県,大仙市,協和農業体験学習館,キョウワノウギョウタイケンガクシュウカン,,,協和小種字上鏡台2-405,,,,,,,,,,,,,,,
52124,56,秋田県,大仙市,協和農作業準備休養施設,キョウワノウサギョウジュンビキュウヨウシセツ,,,協和小種字上鏡台2-437,,,,,,,,,,,,,,,
52124,57,秋田県,大仙市,小種農作業格納庫,コタネノウサギョウカクノウコ,,,協和小種字上鏡台2-437,,,,,,,,,,,,,,,
52124,58,秋田県,大仙市,南小学区コミュニティセンター,ナンショウガックコミュニティセンター,,,南外字坊田240,,,,,,,,,,,,,,,
52124,59,秋田県,大仙市,南外コミュニティセンター,ナンガイコミュニティセンター,,,南外字下袋218,,,,,,,,,,,,,,,
52124,60,秋田県,大仙市,南外本川地域多目的集会所,ナンガイモトカワチイキタモクテキシュウカイショ,,,南外字川口本町64-5,,,,,,,,,,,,,,,
52124,61,秋田県,大仙市,南外農林漁業者創作研修センター,ナンガイノウリンギョギョウシャソウサクケンシュウセンター,,,南外字小出433-1,,,,,,,,,,,,,,,
52124,62,秋田県,大仙市,南外中央生活改善センター,ナンガイチュウオウセイカツカイゼンセンター,,,南外字上野107,,,,,,,,,,,,,,,
52124,63,秋田県,大仙市,大仙市史跡の里せんぼく（さくまろ館）,ダイセンシシセキノサトセンボク（サクマロカン）,さくまろ館,,高梨字田茂木10,,,,,,,,,,,,,,,
52124,64,秋田県,大仙市,太田農村環境改善センター（太田文化プラザ）,オオタノウソンカンキョウカイゼンセンター,太田文化プラザ,,太田町太田字新田田尻3-4ｳﾁ,,,,,,,,,,,,,,,
52124,65,秋田県,大仙市,太田高齢者等活動・生活支援促進機械施設（敬愛館）,オオタコウレイシャトウカツドウ・セイカツシエンソクシンキカイシセツ（ケイアイカン）,敬愛館,,太田町東今泉字大信田472-10,,,,,,,,,,,,,,,
52124,66,秋田県,大仙市,太田生活改善センター,オオタセイカツカイゼンセンター,,,太田町太田字新田下野50-3ｳﾁ,,,,,,,,,,,,,,,
52124,67,秋田県,大仙市,太田東部地区生活改善センター（太田東部センター）,オオタトウブチクセイカツカイゼンセンター,太田東部センター,,太田町太田字築地古館27-1ｳﾁ,,,,,,,,,,,,,,,
52124,68,秋田県,大仙市,太田北部地区多目的研修センター（太田北部センター）,オオタホクブチクタモクテキケンシュウセンター,太田北部センター,,太田町国見字佐幣神161,,,,,,,,,,,,,,,
52124,69,秋田県,大仙市,大仙市おおたコミュニティプラザ,ダイセンシオオタコミュニティプラザ,,,太田町横沢字窪関南501ｳﾁ,,,,,,,,,,,,,,,
52124,70,秋田県,大仙市,健康文化活動拠点センター「ペアーレ大仙」,ケンコウブンカカツドウキョテンセンター「ペアーレダイセン」,ペアーレ大仙,,大曲中通町6-10,,,,,,,,,,,,,,,
52124,71,秋田県,大仙市,市民活動交流拠点センター,シミンカツドウコウリュウキョテンセンター,,,大曲通町741,,,,,,,,,,,,,,,
52124,72,秋田県,大仙市,神宮寺駅合築駅舎交流施設,ジングウジエキガッチクエキシャコウリュウシセツ,,,神宮寺字本郷野21,,,,,,,,,,,,,,,
52124,73,秋田県,大仙市,西仙北ふれあい広場,ニシセンボクフレアイヒロバ,,,刈和野字愛宕下106-3,,,,,,,,,,,,,,,
52124,74,秋田県,大仙市,ドライバー休憩施設,ドライバーキュウケイシセツ,,,強首字上野台25,,,,,,,,,,,,,,,
52124,75,秋田県,大仙市,羽後長野合築駅舎交流施設,ウゴナガノガッチクエキシャコウリュウシセツ,,,長野字柳田52-10,,,,,,,,,,,,,,,
52124,76,秋田県,大仙市,羽後境駅舎ふれあい交流施設,ウゴサカイエキシャフレアイコウリュウシセツ,,,協和境字野田87-7,,,,,,,,,,,,,,,
52124,77,秋田県,大仙市,玉川荘（老人憩いの家）,タマガワソウ,,,花館字上大戸下川原74-45,,,,,,,,,,,,,,,
52124,78,秋田県,大仙市,西仙北高齢者ふれあいセンター,ニシセンボクコウレイシャフレアイセンター,,,刈和野字本町5,,,,,,,,,,,,,,,
52124,79,秋田県,大仙市,水沢世代交流福祉館,ミズサワセダイコウリュウフクシカン,,,協和稲沢字水沢田尻76-1,,,,,,,,,,,,,,,
52124,80,秋田県,大仙市,小種世代交流福祉館,コタネセダイコウリュウフクシカン,,,協和小種字上鏡台2-7,,,,,,,,,,,,,,,
52124,81,秋田県,大仙市,荒川福祉会館,アラカワフクシカイカン,,,協和荒川字平城29-5,,,,,,,,,,,,,,,
52124,82,秋田県,大仙市,沢内高齢者健康増進ふれあい館,サワナイコウレイシャケンコウゾンシンフレアイカン,,,協和船岡字沢内677,,,,,,,,,,,,,,,
52124,83,秋田県,大仙市,中淀川世代交流福祉館,ナカヨドカワセダイコウリュウフクシカン,,,協和中淀川字鳥屋野31,,,,,,,,,,,,,,,
52124,84,秋田県,大仙市,協和生活支援ハウス（やすらぎの里）,キョウワセイカツシエンハウス,やすらぎの里,,協和上淀川字中嶋33,,,,,,,,,,,,,,,
52124,85,秋田県,大仙市,南外生活支援ハウス（ぬくもりの郷）,ナンガイセイカツシエンハウス,ぬくもりの郷,,南外字松木田119-1,,,,,,,,,,,,,,,
52124,86,秋田県,大仙市,川目児童館,カワノメジドウカン,,,川目字町東68,,,,,,,,,,,,,,,
52124,87,秋田県,大仙市,大曲北児童館,オオマガリキタジドウカン,,,大曲白金町12-5,,,,,,,,,,,,,,,
52124,88,秋田県,大仙市,ひだまり児童館,ヒダマリジドウカン,,,大曲黒瀬町2-15,,,,,,,,,,,,,,,
52124,89,秋田県,大仙市,こぶし児童館,コブシジドウカン,,,大曲須和町１丁目24-1,,,,,,,,,,,,,,,
52124,90,秋田県,大仙市,みやはやし児童館,ミヤハヤシジドウカン,,,内小友字宮林72,,,,,,,,,,,,,,,
52124,91,秋田県,大仙市,日の出児童館,ヒノデジドウカン,,,大曲日の出町１丁目27-1,,,,,,,,,,,,,,,
52124,92,秋田県,大仙市,金谷児童館,カナヤジドウカン,,,大曲金谷町18-1,,,,,,,,,,,,,,,
52124,93,秋田県,大仙市,まるこ児童館,マルコジドウカン,,,大曲丸子町9-1,,,,,,,,,,,,,,,
52124,94,秋田県,大仙市,大曲中央児童館,オオマガリチュウオウジドウカン,,,大曲花園町4-92,,,,,,,,,,,,,,,
52124,95,秋田県,大仙市,花園児童センター,ハナゾノジドウカン,,,大曲川原町2-81,,,,,,,,,,,,,,,
52124,96,秋田県,大仙市,桂児童センター,カツラジドウカン,,,大曲若葉町2-62,,,,,,,,,,,,,,,
52124,97,秋田県,大仙市,大曲東児童館,オオマガリヒガシジドウカン,,,大曲字下高畑87-2,,,,,,,,,,,,,,,
52124,98,秋田県,大仙市,子ども・若者総合相談センター,コドモ・ワカモノソウゴウソウダンセンター,,,大曲丸の内町1-11-2,,,,,,,,,,,,,,,
52124,99,秋田県,大仙市,花園児童クラブ,ハナゾノジドウクラブ,,,大曲川原町2-5,,,,,,,,,,,,,,,
52124,100,秋田県,大仙市,第２いちょう児童クラブ,ダイニイチョウジドウクラブ,,,大曲白金町12-12,,,,,,,,,,,,,,,
52124,101,秋田県,大仙市,神岡児童クラブ,カミオカジドウクラブ,,,神宮寺字神宮寺53-6,,,,,,,,,,,,,,,
52124,102,秋田県,大仙市,西仙北児童クラブ,ニシセンボクジドウクラブ,,,刈和野字上ノ台322-6,,,,,,,,,,,,,,,
52124,103,秋田県,大仙市,西仙北第２児童クラブ,ニシセンボクダイニジドウクラブ,,,刈和野字本町5,,,,,,,,,,,,,,,
52124,104,秋田県,大仙市,八乙女児童クラブ,ヤオトメジドウクラブ,,,長野字六日町215,,,,,,,,,,,,,,,
52124,105,秋田県,大仙市,湯ノ又児童館,ユノマタジドウカン,,,南外字湯ノ又106,,,,,,,,,,,,,,,
52124,106,秋田県,大仙市,ひまわり児童クラブ,ヒマワリジドウクラブ,,,高梨字新屋敷9-3,,,,,,,,,,,,,,,
52124,107,秋田県,大仙市,おおた児童クラブ,オオタジドウクラブ,,,太田町太田字築地古館27,,,,,,,,,,,,,,,
52124,108,秋田県,大仙市,健康福祉会館,ケンコウフクシカイカン,,,大曲通町748,,,,,,,,,,,,,,,
52124,109,秋田県,大仙市,神岡農林水産物処理加工施設,カミオカノウリンスイサンブツショリカコウシセツ,,,北楢岡字船戸188-1,,,,,,,,,,,,,,,
52124,110,秋田県,大仙市,西仙北地域産物加工販売施設（大綱の里）,ニシセンボクチイキサンブツカコウハンバイシセツ,大綱の里,,刈和野字大佐沢53-3,,,,,,,,,,,,,,,
